avg_goals_rank,home_adv_rank,country,league,num_games,num_teams,avg_goals,home_advantage_score,left_tail,right_tail,countryCode
0,143,Canada,CSL 2017,56,8,4.304,0.025,-0.228,0.27699999999999997,CAN
1,140,Djibouti,Division 1 2016/2017,90,10,3.978,0.045,-0.163,0.252,DJI
2,152,Cambodia,C-League 2017,132,12,3.864,-0.031,-0.205,0.142,KHM
3,103,Estonia,Meistriliiga 2017,180,10,3.656,0.171,0.017,0.324,EST
4,73,New Zealand,Football Championship 2016/2017,90,10,3.567,0.244,0.024,0.465,NZL
5,5,Bolivia,Liga de Futbol Prof 2016/2017,132,12,3.432,0.618,0.498,0.7390000000000001,BOL
6,136,Hong Kong,Premier League 2016/2017,110,11,3.427,0.058,-0.14400000000000002,0.26,HKG
7,52,Thailand,Thai Premier League 2017,306,18,3.389,0.309,0.18600000000000003,0.43200000000000005,THA
8,106,Luxembourg,National Division 2016/2017,182,14,3.319,0.153,-0.006999999999999999,0.313,LUX
9,159,Maldives,Dhivehi Premier League 2017,56,8,3.304,-0.37,-0.782,0.042,MDV
10,123,Seychelles,Division One 2017,132,12,3.303,0.114,-0.075,0.302,SYC
11,135,Gibraltar,Premier Division 2016/2017,132,10,3.288,0.064,-0.126,0.253,GIB
12,138,Sri Lanka,Champions League 2017,143,18,3.266,0.051,-0.133,0.235,LKA
13,148,Andorra,Primera Divisió 2016/2017,83,8,3.265,-0.005,-0.245,0.23600000000000002,AND
14,78,Switzerland,Super League 2016/2017,180,10,3.233,0.235,0.071,0.39799999999999996,CHE
15,83,Philippines,PFL 2017,109,8,3.202,0.218,0.006999999999999999,0.43,PHL
16,120,Faroe Islands,Premier League 2017,134,10,3.187,0.122,-0.068,0.312,FRO
17,97,Nicaragua,Primera Division 2016/2017,179,10,3.156,0.182,0.016,0.34700000000000003,NIC
18,117,Bermuda,Premier League 2016/2017,90,10,3.144,0.134,-0.099,0.368,BMU
19,132,San Marino,Campionato Sammarinese 2016/2017,154,15,3.143,0.085,-0.095,0.264,SMR
20,104,United Arab Emirates,UAE League 2016/2017,182,14,3.137,0.165,0.0,0.33,ARE
