avg_goals_rank	home_adv_rank	country	league	num_games	num_teams	avg_goals	home_advantage_score	left_tail	right_tail	countryCode
0	4	Bolivia	Liga de Futbol Prof 2016/2017	132	12	4.47	0.624	0.431	0.818	BOL
1	143	Canada	CSL 2017	56	8	4.357	0.025	-0.228	0.277	CAN
2	140	Djibouti	Division 1 2016/2017	90	10	4.067	0.045	-0.163	0.252	DJI
3	73	New Zealand	Football Championship 2016/2017	90	10	4.0	0.244	0.024	0.465	NZL
4	103	Estonia	Meistriliiga 2017	180	10	3.967	0.171	0.017	0.324	EST
5	159	Maldives	Dhivehi Premier League 2017	56	8	3.964	-0.37	-0.782	0.042	MDV
6	52	Thailand	Thai Premier League 2017	306	18	3.908	0.309	0.186	0.432	THA
7	152	Cambodia	C-League 2017	132	12	3.803	-0.031	-0.205	0.142	KHM
8	7	USA	MLS 2017	374	22	3.749	0.538	0.416	0.66	USA
9	9	Indonesia	Liga 1 2017	304	18	3.618	0.515	0.378	0.651	IDN
10	78	Switzerland	Super League 2016/2017	180	10	3.611	0.235	0.071	0.398	CHE
11	106	Luxembourg	National Division 2016/2017	182	14	3.571	0.153	-0.007	0.313	LUX
12	83	Philippines	PFL 2017	109	8	3.56	0.218	0.007	0.43	PHL
13	136	Hong Kong	Premier League 2016/2017	110	11	3.527	0.058	-0.144	0.26	HKG
14	58	China	Super League 2017	240	16	3.508	0.303	0.156	0.449	CHN
15	123	Seychelles	Division One 2017	132	12	3.5	0.114	-0.075	0.302	SYC
16	135	Gibraltar	Premier Division 2016/2017	132	10	3.47	0.064	-0.126	0.253	GIB
17	20	Honduras	Liga Nacional 2016/2017	180	10	3.456	0.452	0.273	0.63	HND
18	97	Nicaragua	Primera Division 2016/2017	179	10	3.43	0.182	0.016	0.347	NIC
19	84	Malaysia	Super League 2017	132	12	3.424	0.217	0.021	0.412	MYS
20	55	Kyrgyzstan	Top Liga 2017	60	6	3.4	0.307	0.009	0.606	KGZ
21	104	United Arab Emirates	UAE League 2016/2017	182	14	3.396	0.165	0.0	0.33	ARE
22	8	Peru	Primera Division 2017	238	16	3.361	0.52	0.359	0.68	PER
23	33	Norway	Eliteserien 2017	240	16	3.358	0.368	0.215	0.52	NOR
24	117	Bermuda	Premier League 2016/2017	90	10	3.356	0.134	-0.099	0.368	BMU
25	85	Australia	A-League 2016/2017	135	10	3.348	0.213	0.018	0.409	AUS
26	120	Faroe Islands	Premier League 2017	134	10	3.343	0.122	-0.068	0.312	FRO
27	72	Wales	Premier League 2016/2017	132	12	3.333	0.246	0.047	0.446	WLS
28	96	Iceland	Pepsideild 2017	132	12	3.333	0.184	-0.012	0.38	ISL
29	71	Italy	Serie A 2016/2017	379	20	3.33	0.257	0.139	0.375	ITA
30	68	Spain	LaLiga 2016/2017	380	20	3.326	0.263	0.144	0.381	ESP
31	61	Netherlands	Eredivisie 2016/2017	306	18	3.314	0.296	0.163	0.43	NLX
32	49	Germany	Bundesliga 2016/2017	306	18	3.314	0.315	0.181	0.449	DEU
33	67	Turkmenistan	Yokary Liga 2017	143	9	3.301	0.278	0.084	0.472	TKM
34	95	Saudi Arabia	Saudi Professional League 2016/2017	182	14	3.297	0.186	0.018	0.354	SAU
35	128	Qatar	Premier League 2016/2017	182	14	3.297	0.105	-0.059	0.27	QAT
36	138	Sri Lanka	Champions League 2017	143	18	3.273	0.051	-0.133	0.235	LKA
37	37	Belgium	Jupiler League 2016/2017	239	16	3.222	0.359	0.203	0.515	BEL
38	93	Northern Ireland	NIFL Premiership 2016/2017	195	12	3.221	0.188	0.023	0.353	NIR
39	132	San Marino	Campionato Sammarinese 2016/2017	154	15	3.208	0.085	-0.095	0.264	SMR
40	148	Andorra	Primera Divisió 2016/2017	83	8	3.205	-0.005	-0.245	0.236	AND
41	64	England	Premier League 2016/2017	380	20	3.195	0.284	0.162	0.405	ENG
